Week.Ending.Date,Area,Metric,age_0_17,age_18_19,age_18_49,age_20_29,age_30_39,age_40_49,age_50_59,age_50_64,age_60_69,age_65plus,age_70_79,age_80plus,age_unknown
2020-03-14,Region 2N,Deaths,0,0,6,0,<5,<5,14,20,17,46,17,12,0
2020-03-14,Region 2N,Hospitalization,<5,0,69,8,19,42,68,96,67,139,51,21,0
2020-03-14,Region 2S,Case Count,8,<5,345,80,114,148,146,220,135,226,64,27,0
2020-03-14,Region 2S,Deaths,0,0,11,0,<5,10,15,31,28,60,19,13,0
2020-03-14,Region 2S,Hospitalization,<5,0,109,13,32,64,74,124,94,159,43,22,0
2020-03-14,Region 3,Case Count,0,<5,35,7,9,17,8,18,14,33,16,<5,0
2020-03-14,Region 3,Deaths,0,0,0,0,0,0,<5,<5,<5,7,<5,<5,0
2020-03-14,Region 3,Hospitalization,0,0,7,<5,<5,<5,6,12,8,21,11,<5,0
2020-03-14,Region 5,Case Count,0,0,7,<5,<5,<5,7,9,<5,9,<5,<5,0
2020-03-14,Region 5,Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,Region 5,Hospitalization,0,0,<5,0,<5,<5,<5,<5,0,6,<5,<5,0
2020-03-14,Region 6,Case Count,<5,0,11,5,<5,<5,<5,5,<5,7,<5,0,0
2020-03-14,Region 6,Deaths,0,0,0,0,0,0,0,0,0,<5,<5,0,0
2020-03-14,Region 6,Hospitalization,0,0,0,0,0,0,<5,<5,<5,<5,<5,0,0
2020-03-14,Region 7,Case Count,0,0,7,<5,<5,<5,<5,6,<5,<5,0,0,0
2020-03-14,Region 7,Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,Region 7,Hospitalization,0,0,<5,0,<5,0,0,<5,<5,<5,0,0,0
2020-03-14,Region 8,Case Count,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,Region 8,Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,Region 8,Hospitalization,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,Region 1,Case Count,<5,<5,135,36,55,42,68,96,50,76,20,6,0
2020-03-21,Region 1,Deaths,0,0,<5,0,<5,0,<5,<5,<5,8,<5,<5,0
2020-03-21,Region 1,Hospitalization,0,0,12,<5,<5,8,12,20,20,32,10,<5,0
2020-03-21,Region 2N,Case Count,16,9,883,182,277,415,446,619,350,749,256,143,0
2020-03-21,Region 2N,Deaths,0,0,19,<5,0,18,24,44,53,203,72,78,0
2020-03-21,Region 2N,Hospitalization,5,<5,185,17,48,118,170,262,181,473,174,118,0
2020-03-21,Region 2S,Case Count,19,21,1221,288,401,511,577,838,489,927,291,147,<5
2020-03-21,Region 2S,Deaths,<5,0,34,<5,10,21,45,77,80,225,74,71,0
2020-03-21,Region 2S,Hospitalization,<5,<5,269,35,86,147,209,325,243,536,183,110,0
2020-03-21,Region 3,Case Count,5,<5,128,34,47,45,65,102,62,120,36,22,0
2020-03-21,Region 3,Deaths,0,0,<5,<5,<5,<5,10,15,9,31,10,12,0
2020-03-21,Region 3,Hospitalization,0,0,31,5,11,15,27,49,35,79,26,18,0
2020-03-21,Region 5,Case Count,0,<5,32,13,10,8,15,24,13,26,8,5,0
2020-03-21,Region 5,Deaths,0,0,0,0,0,0,0,0,<5,<5,<5,0,0
2020-03-21,Region 5,Hospitalization,0,0,<5,<5,<5,<5,8,11,<5,15,7,<5,0
2020-03-21,Region 6,Case Count,<5,0,59,23,18,18,14,24,17,31,9,5,0
2020-03-21,Region 6,Deaths,0,0,0,0,0,0,<5,<5,<5,11,<5,<5,0
2020-03-21,Region 6,Hospitalization,0,0,9,<5,<5,5,6,11,11,20,6,<5,0
2020-03-21,Region 7,Case Count,0,0,19,<5,7,9,12,15,6,12,5,<5,0
2020-03-21,Region 7,Deaths,0,0,0,0,0,0,<5,<5,0,<5,<5,0,0
2020-03-21,Region 7,Hospitalization,0,0,<5,0,<5,<5,<5,<5,0,<5,<5,0,0
2020-03-21,Region 8,Case Count,0,0,5,<5,<5,<5,<5,5,<5,7,<5,0,0
2020-03-21,Region 8,Deaths,0,0,0,0,0,0,0,<5,<5,<5,<5,0,0
2020-03-21,Region 8,Hospitalization,0,0,<5,0,<5,<5,<5,<5,<5,5,<5,0,0
2020-03-28,Region 1,Case Count,<5,<5,160,39,53,65,73,115,66,118,36,16,0
2020-03-28,Region 1,Deaths,0,0,0,0,0,0,<5,<5,<5,15,7,5,0
2020-03-28,Region 1,Hospitalization,0,0,15,<5,7,6,7,19,23,55,21,11,0
2020-03-28,Region 2N,Case Count,22,9,1107,230,377,491,574,864,501,1048,314,233,0
2020-03-28,Region 2N,Deaths,0,0,9,<5,<5,7,29,62,68,291,104,119,0
2020-03-28,Region 2N,Hospitalization,<5,<5,179,25,51,101,182,312,241,608,207,160,0
2020-03-28,Region 2S,Case Count,22,24,1662,387,561,690,811,1224,750,1519,468,301,<5
2020-03-28,Region 2S,Deaths,0,0,39,<5,9,26,76,141,145,489,180,164,0
2020-03-28,Region 2S,Hospitalization,<5,<5,251,35,78,134,231,384,299,757,262,196,0
2020-03-28,Region 3,Case Count,6,0,192,58,61,73,119,167,87,198,69,42,0
2020-03-28,Region 3,Deaths,0,0,<5,0,0,<5,10,15,12,51,20,19,0
2020-03-28,Region 3,Hospitalization,<5,0,26,<5,7,16,50,76,47,123,50,26,0
2020-03-28,Region 5,Case Count,0,<5,72,18,18,35,22,30,21,60,23,16,0
2020-03-28,Region 5,Deaths,0,0,<5,0,0,<5,0,<5,<5,11,<5,7,0
2020-03-28,Region 5,Hospitalization,0,<5,7,0,0,6,<5,8,8,32,13,11,0
2020-03-28,Region 6,Case Count,<5,0,89,35,27,27,24,35,20,43,7,16,0
2020-03-28,Region 6,Deaths,0,0,0,0,0,0,5,6,<5,11,<5,7,0
2020-03-28,Region 6,Hospitalization,0,0,10,0,<5,8,7,10,8,19,5,6,0
2020-03-28,Region 7,Case Count,0,0,26,7,10,9,11,19,14,30,6,10,0
2020-03-28,Region 7,Deaths,0,0,0,0,0,0,<5,<5,<5,8,<5,<5,0
2020-03-28,Region 7,Hospitalization,0,0,<5,0,0,<5,<5,7,6,18,<5,8,0
2020-03-28,Region 8,Case Count,0,0,5,<5,<5,<5,<5,5,<5,9,<5,<5,0
2020-03-28,Region 8,Deaths,0,0,0,0,0,0,0,0,0,<5,0,<5,0
2020-03-28,Region 8,Hospitalization,0,0,<5,<5,<5,<5,<5,5,<5,5,0,<5,0
2020-04-04,Region 1,Case Count,<5,<5,209,73,54,78,77,104,40,98,35,23,0
2020-04-04,Region 1,Deaths,0,0,0,0,0,0,<5,5,7,28,9,12,0
2020-04-04,Region 1,Hospitalization,0,0,12,<5,<5,7,9,15,9,35,18,8,0
2020-04-04,Region 2N,Case Count,20,16,1180,272,412,480,611,886,501,1227,349,377,0
2020-04-04,Region 2N,Deaths,0,0,18,<5,6,10,22,40,47,358,108,203,0
2020-04-04,Region 2N,Hospitalization,<5,<5,121,15,36,68,130,230,196,629,190,243,0
2020-04-04,Region 2S,Case Count,35,28,1643,390,538,687,827,1253,820,1817,579,418,<5
2020-04-04,Region 2S,Deaths,0,0,27,<5,<5,22,52,98,124,506,181,201,0
2020-04-04,Region 2S,Hospitalization,<5,0,170,25,52,93,178,293,258,714,244,212,0
2020-04-04,Region 3,Case Count,<5,<5,216,78,61,75,119,170,99,228,69,60,0
2020-04-04,Region 3,Deaths,0,0,6,0,<5,5,8,14,18,79,24,37,0
2020-04-04,Region 3,Hospitalization,0,0,32,6,5,21,34,59,51,123,32,40,0
2020-04-04,Region 5,Case Count,<5,0,83,20,28,35,51,68,32,69,18,19,0
2020-04-04,Region 5,Deaths,0,0,<5,0,0,<5,<5,<5,<5,13,<5,9,0
2020-04-04,Region 5,Hospitalization,0,0,7,0,<5,<5,13,24,18,41,9,14,0
2020-04-04,Region 6,Case Count,<5,<5,132,39,41,50,43,62,31,90,23,36,0
2020-04-04,Region 6,Deaths,0,0,0,0,0,0,<5,<5,5,25,8,12,0
2020-04-04,Region 6,Hospitalization,0,0,11,<5,<5,6,7,14,12,29,13,<5,0
2020-04-04,Region 7,Case Count,0,<5,23,10,5,5,10,15,7,22,10,5,0
2020-04-04,Region 7,Deaths,0,0,0,0,0,0,0,0,0,5,<5,<5,0
2020-04-04,Region 7,Hospitalization,0,0,<5,0,0,<5,<5,5,<5,9,6,<5,0
2020-04-04,Region 8,Case Count,<5,0,<5,<5,<5,<5,<5,<5,<5,9,<5,<5,0
2020-04-04,Region 8,Deaths,0,0,0,0,0,0,0,0,0,<5,<5,<5,0
2020-04-04,Region 8,Hospitalization,0,0,0,0,0,0,0,0,0,<5,<5,0,0
2020-04-11,Region 1,Case Count,10,9,165,57,47,52,59,86,52,132,28,52,0
2020-04-11,Region 1,Deaths,0,0,0,0,0,0,<5,<5,7,32,9,16,0
2020-04-11,Region 1,Hospitalization,0,0,8,<5,<5,<5,6,13,14,37,10,13,0
2020-04-11,Region 2N,Case Count,28,15,901,231,312,343,459,646,331,1070,309,430,0
2020-04-11,Region 2N,Deaths,0,0,7,0,<5,<5,27,45,49,352,98,205,0
2020-04-11,Region 2N,Hospitalization,<5,0,60,6,26,28,78,121,95,468,135,238,0
2020-04-11,Region 2S,Case Count,30,30,1178,301,399,448,557,896,640,1526,433,453,<5
2020-04-11,Region 2S,Deaths,0,0,20,<5,7,10,46,83,92,437,124,221,0
2020-04-11,Region 2S,Hospitalization,<5,0,94,9,33,52,89,177,182,585,171,232,0
2020-04-11,Region 3,Case Count,<5,5,303,103,87,108,107,152,98,286,88,100,0
2020-04-11,Region 3,Deaths,0,0,5,<5,<5,<5,<5,10,24,104,29,51,0
2020-04-11,Region 3,Hospitalization,0,0,25,<5,6,15,25,49,50,156,55,51,0
2020-04-11,Region 5,Case Count,<5,<5,116,29,44,40,45,72,44,88,29,15,0
2020-04-11,Region 5,Deaths,0,0,<5,0,0,<5,<5,<5,<5,14,8,<5,0
2020-04-11,Region 5,Hospitalization,0,0,10,<5,<5,5,8,18,18,35,13,<5,0
2020-04-11,Region 6,Case Count,8,5,195,54,67,69,66,97,58,117,16,43,0
2020-04-11,Region 6,Deaths,0,0,0,0,0,0,<5,6,7,19,<5,10,0
2020-04-11,Region 6,Hospitalization,0,0,11,0,<5,8,13,20,18,31,5,8,0
2020-04-11,Region 7,Case Count,0,0,26,8,9,9,12,16,9,21,5,7,0
2020-04-11,Region 7,Deaths,0,0,0,0,0,0,0,0,0,<5,0,<5,0
2020-04-11,Region 7,Hospitalization,0,0,<5,<5,0,<5,<5,<5,<5,5,<5,<5,0
2020-04-11,Region 8,Case Count,<5,<5,6,<5,<5,<5,0,<5,<5,13,<5,7,0
2020-04-11,Region 8,Deaths,0,0,0,0,0,0,0,0,0,<5,<5,<5,0
2020-04-11,Region 8,Hospitalization,0,0,0,0,0,0,0,0,<5,5,0,<5,0
2020-04-18,Region 1,Case Count,18,<5,178,60,61,55,63,86,44,112,40,28,<5
2020-04-18,Region 1,Deaths,0,0,<5,<5,0,0,0,<5,<5,29,11,15,0
2020-04-18,Region 1,Hospitalization,0,0,7,0,<5,6,<5,7,9,42,17,16,0
2020-04-18,Region 2N,Case Count,22,15,649,176,222,236,272,415,261,849,252,336,0
2020-04-18,Region 2N,Deaths,0,0,<5,0,0,<5,8,16,26,244,69,149,0
2020-04-18,Region 2N,Hospitalization,<5,0,40,10,12,18,30,65,72,339,101,166,0
2020-04-18,Region 2S,Case Count,17,20,848,217,282,329,401,619,465,1221,350,406,<5
2020-04-18,Region 2S,Deaths,0,0,11,0,<5,10,23,48,62,342,112,168,0
2020-04-18,Region 2S,Hospitalization,<5,<5,58,11,15,29,47,82,105,372,118,149,0
2020-04-18,Region 3,Case Count,8,6,264,91,69,98,100,158,88,268,70,110,0
2020-04-18,Region 3,Deaths,0,0,<5,0,<5,<5,<5,13,12,72,17,43,0
2020-04-18,Region 3,Hospitalization,0,0,15,<5,<5,10,20,39,27,105,32,46,0
2020-04-18,Region 5,Case Count,15,<5,201,59,64,74,54,85,41,112,35,36,0
2020-04-18,Region 5,Deaths,0,0,0,0,0,0,0,<5,6,28,8,14,0
2020-04-18,Region 5,Hospitalization,<5,0,10,<5,<5,6,7,16,13,32,12,7,0
2020-04-18,Region 6,Case Count,26,14,382,114,133,121,113,146,75,139,30,34,0
2020-04-18,Region 6,Deaths,0,0,<5,0,0,<5,<5,<5,<5,24,<5,16,0
2020-04-18,Region 6,Hospitalization,<5,0,33,5,11,17,10,17,12,25,7,6,0
2020-04-18,Region 7,Case Count,0,<5,51,21,15,14,26,36,19,72,17,36,0
2020-04-18,Region 7,Deaths,0,0,<5,0,0,<5,0,<5,<5,16,<5,12,0
2020-04-18,Region 7,Hospitalization,0,0,<5,0,0,<5,<5,<5,<5,9,<5,5,0
2020-04-18,Region 8,Case Count,0,0,<5,0,<5,<5,<5,<5,<5,5,<5,<5,0
2020-04-18,Region 8,Deaths,0,0,0,0,0,0,0,0,0,<5,<5,0,0
2020-04-18,Region 8,Hospitalization,0,0,0,0,0,0,0,0,0,<5,<5,0,0
2020-04-25,Region 1,Case Count,22,7,222,84,79,52,73,100,43,138,42,53,0
2020-04-25,Region 1,Deaths,0,0,<5,0,<5,0,0,<5,<5,26,5,19,0
2020-04-25,Region 1,Hospitalization,0,0,6,0,<5,<5,<5,8,6,24,7,11,0
2020-04-25,Region 2N,Case Count,19,16,605,172,182,235,261,389,229,741,177,335,0
2020-04-25,Region 2N,Deaths,0,<5,<5,0,<5,<5,5,14,17,171,34,120,0
2020-04-25,Region 2N,Hospitalization,<5,<5,33,<5,8,20,22,41,40,220,67,113,0
2020-04-25,Region 2S,Case Count,34,29,910,291,273,317,371,586,378,979,265,336,<5
2020-04-25,Region 2S,Deaths,0,0,10,<5,0,8,13,27,35,197,53,109,0
2020-04-25,Region 2S,Hospitalization,<5,<5,43,13,8,18,35,61,59,201,48,94,0
2020-04-25,Region 3,Case Count,5,5,290,98,91,96,92,133,88,232,55,89,0
2020-04-25,Region 3,Deaths,0,0,<5,0,0,<5,<5,<5,8,51,7,36,0
2020-04-25,Region 3,Hospitalization,0,0,9,<5,<5,7,16,20,16,63,15,32,0
2020-04-25,Region 5,Case Count,17,<5,295,99,90,103,86,133,80,147,35,32,0
2020-04-25,Region 5,Deaths,0,0,5,0,<5,<5,0,<5,9,28,9,10,0
2020-04-25,Region 5,Hospitalization,0,0,14,<5,<5,8,12,21,19,44,14,11,0
2020-04-25,Region 6,Case Count,45,20,659,204,223,212,225,309,141,274,75,58,0
2020-04-25,Region 6,Deaths,0,0,<5,0,0,<5,<5,<5,6,40,8,26,0
2020-04-25,Region 6,Hospitalization,<5,0,17,<5,5,10,15,22,11,25,8,6,0
2020-04-25,Region 7,Case Count,0,0,43,10,15,18,9,17,13,34,5,16,0
2020-04-25,Region 7,Deaths,0,0,0,0,0,0,<5,<5,0,5,0,5,0
2020-04-25,Region 7,Hospitalization,0,0,<5,0,0,<5,<5,<5,<5,8,<5,5,0
2020-04-25,Region 8,Case Count,<5,<5,9,<5,<5,0,0,0,<5,12,6,<5,0
2020-04-25,Region 8,Deaths,0,0,0,0,0,0,0,0,0,<5,<5,0,0
2020-04-25,Region 8,Hospitalization,0,0,0,0,0,0,0,0,0,<5,<5,<5,0
2020-05-02,Region 1,Case Count,31,10,276,88,98,80,95,127,55,135,36,44,0
2020-05-02,Region 1,Deaths,0,0,0,0,0,0,<5,<5,<5,17,<5,13,0
2020-05-02,Region 1,Hospitalization,<5,0,11,<5,5,<5,8,14,13,23,<5,6,0
2020-05-02,Region 2N,Case Count,22,17,687,188,240,242,251,382,212,569,140,217,0
2020-05-02,Region 2N,Deaths,0,0,<5,0,0,<5,<5,9,17,121,26,78,0
2020-05-02,Region 2N,Hospitalization,<5,<5,36,13,10,12,14,22,23,120,31,66,0
2020-05-02,Region 2S,Case Count,48,36,977,303,296,342,385,562,305,724,192,227,<5
2020-05-02,Region 2S,Deaths,0,0,6,0,<5,<5,9,15,17,122,36,69,0
2020-05-02,Region 2S,Hospitalization,5,<5,34,7,6,19,20,33,38,140,44,58,0
2020-05-02,Region 3,Case Count,9,5,282,91,95,91,111,154,68,195,49,78,0
2020-05-02,Region 3,Deaths,0,0,<5,0,0,<5,<5,10,7,34,7,20,0
2020-05-02,Region 3,Hospitalization,<5,0,17,<5,5,9,11,23,21,48,9,18,0
2020-05-02,Region 5,Case Count,27,11,346,127,93,115,97,138,65,207,61,81,0
2020-05-02,Region 5,Deaths,0,0,0,0,0,0,<5,<5,<5,44,11,29,0
2020-05-02,Region 5,Hospitalization,<5,0,11,<5,<5,7,9,16,9,32,10,13,0
2020-05-02,Region 6,Case Count,65,31,908,298,292,287,219,300,151,318,91,76,0
2020-05-02,Region 6,Deaths,0,0,0,0,0,0,<5,5,7,45,17,21,0
2020-05-02,Region 6,Hospitalization,0,<5,33,9,8,14,16,22,18,42,19,5,0
2020-05-02,Region 7,Case Count,<5,<5,26,5,10,9,11,20,16,49,16,17,0
2020-05-02,Region 7,Deaths,0,0,0,0,0,0,0,0,<5,7,<5,<5,0
2020-05-02,Region 7,Hospitalization,0,0,0,0,0,0,0,0,0,<5,<5,<5,0
2020-05-02,Region 8,Case Count,<5,0,8,5,0,<5,<5,<5,0,7,<5,5,0
2020-05-02,Region 8,Deaths,0,0,0,0,0,0,0,0,0,<5,0,<5,0
2020-05-02,Region 8,Hospitalization,0,0,0,0,0,0,<5,<5,0,0,0,0,0
2020-05-09,Region 1,Case Count,22,18,276,92,83,83,93,132,62,143,42,39,0
2020-05-09,Region 1,Deaths,0,0,0,0,0,0,<5,<5,0,14,<5,10,0
2020-05-09,Region 1,Hospitalization,0,0,8,0,<5,<5,8,9,<5,14,5,6,0
2020-05-09,Region 2N,Case Count,48,20,793,207,270,296,321,468,247,518,135,136,0
2020-05-09,Region 2N,Deaths,0,0,6,<5,<5,<5,6,12,17,78,18,43,0
2020-05-09,Region 2N,Hospitalization,<5,0,12,<5,<5,8,14,23,17,75,24,34,0
2020-05-09,Region 2S,Case Count,87,53,1138,365,358,362,439,635,339,684,170,175,0
2020-05-09,Region 2S,Deaths,0,0,5,<5,<5,<5,9,20,21,78,21,36,0
2020-05-09,Region 2S,Hospitalization,<5,<5,28,10,11,6,24,42,34,98,26,38,0
2020-05-09,Region 3,Case Count,32,5,271,89,85,92,103,154,93,192,49,50,0
2020-05-09,Region 3,Deaths,0,0,0,0,0,0,<5,8,6,32,10,16,0
2020-05-09,Region 3,Hospitalization,0,0,13,<5,<5,7,8,16,17,42,10,15,0
2020-05-09,Region 5,Case Count,58,15,288,91,78,104,92,121,59,139,31,49,0
2020-05-09,Region 5,Deaths,0,0,<5,<5,0,0,<5,5,<5,25,9,14,0
2020-05-09,Region 5,Hospitalization,0,0,<5,0,0,<5,11,15,7,30,9,14,0
2020-05-09,Region 6,Case Count,88,28,794,270,254,242,204,284,145,299,88,66,0
2020-05-09,Region 6,Deaths,0,0,6,<5,<5,<5,5,7,7,41,12,22,0
2020-05-09,Region 6,Hospitalization,0,0,18,6,5,7,8,22,19,35,9,7,0
2020-05-09,Region 7,Case Count,<5,0,24,6,7,11,12,17,12,22,7,<5,0
2020-05-09,Region 7,Deaths,0,0,0,0,0,0,0,0,<5,<5,0,0,0
2020-05-09,Region 7,Hospitalization,0,0,<5,<5,<5,0,0,0,<5,<5,<5,<5,0
2020-05-09,Region 8,Case Count,0,0,12,<5,<5,<5,<5,5,<5,<5,<5,0,0
2020-05-09,Region 8,Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,Region 8,Hospitalization,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,Region 1,Case Count,28,12,364,105,122,125,110,151,77,209,69,63,0
2020-05-16,Region 1,Deaths,0,0,<5,0,0,<5,<5,<5,<5,27,7,18,0
2020-05-16,Region 1,Hospitalization,<5,0,6,0,<5,<5,10,14,8,21,7,6,0
2020-05-16,Region 2N,Case Count,57,38,835,235,286,276,314,459,236,455,112,107,0
2020-05-16,Region 2N,Deaths,0,0,0,0,0,0,<5,5,9,44,7,28,0
2020-05-16,Region 2N,Hospitalization,<5,0,11,<5,6,<5,6,13,14,51,13,24,0
2020-05-16,Region 2S,Case Count,103,36,991,305,330,320,317,479,261,526,146,119,<5
2020-05-16,Region 2S,Deaths,0,0,<5,0,0,<5,7,16,16,62,20,26,0
2020-05-16,Region 2S,Hospitalization,<5,<5,15,<5,<5,9,9,21,20,57,19,18,0
2020-05-16,Region 3,Case Count,38,11,334,111,105,107,121,178,98,195,54,43,0
2020-05-16,Region 3,Deaths,0,0,<5,0,0,<5,<5,<5,6,29,9,14,0
2020-05-16,Region 3,Hospitalization,0,0,8,<5,<5,<5,10,12,12,37,14,11,0
2020-05-16,Region 5,Case Count,32,10,403,123,149,121,101,160,93,230,50,87,<5
2020-05-16,Region 5,Deaths,0,0,<5,0,0,<5,<5,7,7,28,5,16,0
2020-05-16,Region 5,Hospitalization,<5,0,11,<5,7,<5,<5,7,5,24,6,13,0
2020-05-16,Region 6,Case Count,95,41,930,326,290,273,233,349,191,443,109,143,0
2020-05-16,Region 6,Deaths,0,0,<5,0,0,<5,<5,8,9,63,11,43,0
2020-05-16,Region 6,Hospitalization,<5,0,21,7,6,8,12,22,18,57,19,20,0
2020-05-16,Region 7,Case Count,<5,<5,36,15,14,6,16,28,18,31,9,<5,0
2020-05-16,Region 7,Deaths,0,0,0,0,0,0,0,<5,<5,<5,0,<5,0
2020-05-16,Region 7,Hospitalization,0,<5,<5,0,0,0,<5,<5,0,<5,<5,<5,0
2020-05-16,Region 8,Case Count,0,<5,25,<5,12,7,15,20,10,56,18,28,0
2020-05-16,Region 8,Deaths,0,0,0,0,0,0,<5,<5,<5,14,<5,11,0
2020-05-16,Region 8,Hospitalization,0,0,<5,<5,0,0,0,0,0,<5,<5,0,0
2020-05-23,Region 1,Case Count,24,7,304,101,107,89,108,154,74,190,58,58,0
2020-05-23,Region 1,Deaths,0,0,<5,0,0,<5,0,<5,6,37,14,17,0
2020-05-23,Region 1,Hospitalization,<5,0,<5,0,<5,<5,<5,<5,9,30,12,9,0
2020-05-23,Region 2N,Case Count,35,26,862,248,309,279,302,453,249,589,155,185,0
2020-05-23,Region 2N,Deaths,0,0,<5,0,<5,<5,<5,8,9,62,14,39,0
2020-05-23,Region 2N,Hospitalization,<5,<5,12,<5,5,<5,<5,10,11,56,14,31,0
2020-05-23,Region 2S,Case Count,73,30,976,282,355,309,319,443,220,431,135,76,0
2020-05-23,Region 2S,Deaths,0,0,<5,0,0,<5,<5,6,8,32,10,14,0
2020-05-23,Region 2S,Hospitalization,0,<5,18,<5,9,<5,11,17,14,37,10,13,0
2020-05-23,Region 3,Case Count,12,9,265,78,76,102,109,155,87,186,54,45,0
2020-05-23,Region 3,Deaths,0,0,<5,0,0,<5,0,<5,<5,14,5,7,0
2020-05-23,Region 3,Hospitalization,0,0,5,<5,<5,<5,9,13,13,43,13,17,0
2020-05-23,Region 5,Case Count,22,11,307,100,107,89,70,104,60,132,37,35,0
2020-05-23,Region 5,Deaths,0,0,<5,0,0,<5,0,<5,<5,20,6,11,0
2020-05-23,Region 5,Hospitalization,0,0,<5,<5,0,<5,5,7,8,14,<5,<5,0
2020-05-23,Region 6,Case Count,83,41,842,307,255,239,231,329,184,453,117,152,0
2020-05-23,Region 6,Deaths,0,0,<5,0,<5,0,5,5,<5,65,19,43,0
2020-05-23,Region 6,Hospitalization,0,<5,21,6,5,9,10,17,15,48,17,16,0
2020-05-23,Region 7,Case Count,<5,0,35,10,13,12,16,24,18,36,10,8,0
2020-05-23,Region 7,Deaths,0,0,0,0,0,0,<5,<5,<5,<5,<5,<5,0
2020-05-23,Region 7,Hospitalization,0,0,0,0,0,0,<5,<5,0,<5,<5,<5,0
2020-05-23,Region 8,Case Count,0,0,21,5,8,8,6,6,<5,10,<5,<5,0
2020-05-23,Region 8,Deaths,0,0,0,0,0,0,0,0,0,<5,<5,0,0
2020-05-23,Region 8,Hospitalization,0,0,0,0,0,0,<5,<5,<5,<5,<5,0,0
2020-05-30,Region 1,Case Count,21,13,308,103,89,103,91,134,82,189,56,51,0
2020-05-30,Region 1,Deaths,0,0,0,0,0,0,<5,6,<5,25,9,12,0
2020-05-30,Region 1,Hospitalization,<5,0,<5,<5,<5,<5,<5,6,7,31,11,13,0
2020-05-30,Region 2N,Case Count,31,14,679,212,225,228,273,386,190,382,94,98,0
2020-05-30,Region 2N,Deaths,0,0,<5,0,<5,0,<5,5,9,50,14,27,0
2020-05-30,Region 2N,Hospitalization,0,0,15,7,<5,<5,5,11,9,47,15,23,0
2020-05-30,Region 2S,Case Count,56,28,771,248,255,240,241,366,233,428,118,77,0
2020-05-30,Region 2S,Deaths,0,0,<5,0,<5,<5,7,13,13,42,9,20,0
2020-05-30,Region 2S,Hospitalization,5,0,14,6,<5,5,8,13,9,29,8,12,0
